age_group_id,age_group,age_start,age_end
34,2 to 4 yrs,2,4
36,"2 to 19 yrs, age-standardized",2,19
6,5 to 9 yrs,5,9
7,10 to 14 yrs,10,14
8,15 to 19 yrs,15,19
9,20 to 24 yrs,20,24
38,"20+ yrs, age-standardized",20,100
10,25 to 29 yrs,25,29
11,30 to 34 yrs,30,34
12,35 to 39 yrs,35,39
13,40 to 44 yrs,40,44
14,45 to 49 yrs,45,49
15,50 to 54 yrs,50,54
16,55 to 59 yrs,55,59
17,60 to 64 yrs,60,64
18,65 to 69 yrs,65,69
19,70 to 74 yrs,70,74
20,75 to 79 yrs,75,79
21,80+ yrs,80,100
